model_name,train_missing_prop,test_missing_prop,seed,outer_fold,prediction_source,inner_model_idx,replicate_id,n_patients,auc
Di-MMLP,0.2,0.6,18473,5,ensemble,0,18473|outer_5|ensemble,56,0.6205128205128205
Di-MMLP,0.2,0.6,55602,1,ensemble,0,55602|outer_1|ensemble,57,0.5592592592592593
Di-MMLP,0.2,0.6,55602,2,ensemble,0,55602|outer_2|ensemble,56,0.5874840357598979
Di-MMLP,0.2,0.6,55602,3,ensemble,0,55602|outer_3|ensemble,56,0.6590038314176245
Di-MMLP,0.2,0.6,55602,4,ensemble,0,55602|outer_4|ensemble,56,0.5312899106002554
Di-MMLP,0.2,0.6,55602,5,ensemble,0,55602|outer_5|ensemble,56,0.5935897435897437
Di-MMLP,0.2,0.8,4,1,ensemble,0,4|outer_1|ensemble,57,0.4790123456790124
Di-MMLP,0.2,0.8,4,2,ensemble,0,4|outer_2|ensemble,56,0.5874840357598978
Di-MMLP,0.2,0.8,4,3,ensemble,0,4|outer_3|ensemble,56,0.5900383141762452
Di-MMLP,0.2,0.8,4,4,ensemble,0,4|outer_4|ensemble,56,0.5676883780332056
Di-MMLP,0.2,0.8,4,5,ensemble,0,4|outer_5|ensemble,56,0.5256410256410257
Di-MMLP,0.2,0.8,22,1,ensemble,0,22|outer_1|ensemble,57,0.4197530864197531
Di-MMLP,0.2,0.8,22,2,ensemble,0,22|outer_2|ensemble,56,0.6411238825031929
Di-MMLP,0.2,0.8,22,3,ensemble,0,22|outer_3|ensemble,56,0.5338441890166028
Di-MMLP,0.2,0.8,22,4,ensemble,0,22|outer_4|ensemble,56,0.6481481481481481
Di-MMLP,0.2,0.8,22,5,ensemble,0,22|outer_5|ensemble,56,0.49102564102564106
Di-MMLP,0.2,0.8,2002,1,ensemble,0,2002|outer_1|ensemble,57,0.4469135802469136
Di-MMLP,0.2,0.8,2002,2,ensemble,0,2002|outer_2|ensemble,56,0.6385696040868455
Di-MMLP,0.2,0.8,2002,3,ensemble,0,2002|outer_3|ensemble,56,0.5325670498084292
Di-MMLP,0.2,0.8,2002,4,ensemble,0,2002|outer_4|ensemble,56,0.5466155810983397
Di-MMLP,0.2,0.8,2002,5,ensemble,0,2002|outer_5|ensemble,56,0.48717948717948717
Di-MMLP,0.2,0.8,18473,1,ensemble,0,18473|outer_1|ensemble,57,0.4851851851851852
Di-MMLP,0.2,0.8,18473,2,ensemble,0,18473|outer_2|ensemble,56,0.5644955300127714
Di-MMLP,0.2,0.8,18473,3,ensemble,0,18473|outer_3|ensemble,56,0.541507024265645
Di-MMLP,0.2,0.8,18473,4,ensemble,0,18473|outer_4|ensemble,56,0.5938697318007663
Di-MMLP,0.2,0.8,18473,5,ensemble,0,18473|outer_5|ensemble,56,0.5871794871794872
Di-MMLP,0.2,0.8,55602,1,ensemble,0,55602|outer_1|ensemble,57,0.545679012345679
Di-MMLP,0.2,0.8,55602,2,ensemble,0,55602|outer_2|ensemble,56,0.5925925925925927
Di-MMLP,0.2,0.8,55602,3,ensemble,0,55602|outer_3|ensemble,56,0.5568326947637292
Di-MMLP,0.2,0.8,55602,4,ensemble,0,55602|outer_4|ensemble,56,0.5344827586206897
Di-MMLP,0.2,0.8,55602,5,ensemble,0,55602|outer_5|ensemble,56,0.43589743589743585
Di-MMLP,0.4,0.0,4,1,ensemble,0,4|outer_1|ensemble,57,0.608641975308642
Di-MMLP,0.4,0.0,4,2,ensemble,0,4|outer_2|ensemble,56,0.615581098339719
Di-MMLP,0.4,0.0,4,3,ensemble,0,4|outer_3|ensemble,56,0.6091954022988506
Di-MMLP,0.4,0.0,4,4,ensemble,0,4|outer_4|ensemble,56,0.6679438058748404
Di-MMLP,0.4,0.0,4,5,ensemble,0,4|outer_5|ensemble,56,0.591025641025641
Di-MMLP,0.4,0.0,22,1,ensemble,0,22|outer_1|ensemble,57,0.5839506172839507
