model_name,train_missing_prop,test_missing_prop,seed,outer_fold,inner_model_idx,replicate_id,n_patients,auc
Di-MMLP,0.0,0.2,18473,3,3,18473|outer_3|inner_3,56,0.685823754789272
Di-MMLP,0.0,0.2,18473,3,4,18473|outer_3|inner_4,56,0.4942528735632184
Di-MMLP,0.0,0.2,18473,3,5,18473|outer_3|inner_5,56,0.6257982120051085
Di-MMLP,0.0,0.2,18473,4,1,18473|outer_4|inner_1,56,0.5581098339719031
Di-MMLP,0.0,0.2,18473,4,2,18473|outer_4|inner_2,56,0.6615581098339719
Di-MMLP,0.0,0.2,18473,4,3,18473|outer_4|inner_3,56,0.6717752234993615
Di-MMLP,0.0,0.2,18473,4,4,18473|outer_4|inner_4,56,0.5530012771392082
Di-MMLP,0.0,0.2,18473,4,5,18473|outer_4|inner_5,56,0.5836526181353767
Di-MMLP,0.0,0.2,18473,5,1,18473|outer_5|inner_1,56,0.617948717948718
Di-MMLP,0.0,0.2,18473,5,2,18473|outer_5|inner_2,56,0.6512820512820513
Di-MMLP,0.0,0.2,18473,5,3,18473|outer_5|inner_3,56,0.5974358974358975
Di-MMLP,0.0,0.2,18473,5,4,18473|outer_5|inner_4,56,0.7128205128205128
Di-MMLP,0.0,0.2,18473,5,5,18473|outer_5|inner_5,56,0.4435897435897437
Di-MMLP,0.0,0.2,55602,1,1,55602|outer_1|inner_1,57,0.5259259259259259
Di-MMLP,0.0,0.2,55602,1,2,55602|outer_1|inner_2,57,0.5567901234567901
Di-MMLP,0.0,0.2,55602,1,3,55602|outer_1|inner_3,57,0.6395061728395062
Di-MMLP,0.0,0.2,55602,1,4,55602|outer_1|inner_4,57,0.6246913580246914
Di-MMLP,0.0,0.2,55602,1,5,55602|outer_1|inner_5,57,0.47283950617283954
Di-MMLP,0.0,0.2,55602,2,1,55602|outer_2|inner_1,56,0.4431673052362708
Di-MMLP,0.0,0.2,55602,2,2,55602|outer_2|inner_2,56,0.6104725415070243
Di-MMLP,0.0,0.2,55602,2,3,55602|outer_2|inner_3,56,0.6845466155810984
Di-MMLP,0.0,0.2,55602,2,4,55602|outer_2|inner_4,56,0.5019157088122606
Di-MMLP,0.0,0.2,55602,2,5,55602|outer_2|inner_5,56,0.4993614303959132
Di-MMLP,0.0,0.2,55602,3,1,55602|outer_3|inner_1,56,0.6934865900383141
Di-MMLP,0.0,0.2,55602,3,2,55602|outer_3|inner_2,56,0.7024265644955301
Di-MMLP,0.0,0.2,55602,3,3,55602|outer_3|inner_3,56,0.6794380587484036
Di-MMLP,0.0,0.2,55602,3,4,55602|outer_3|inner_4,56,0.5913154533844188
Di-MMLP,0.0,0.2,55602,3,5,55602|outer_3|inner_5,56,0.5478927203065134
