model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,baseline_auc,degradation_ratio,degradation_ratio_ci95,degradation_ratio_ci95_lower,degradation_ratio_ci95_upper,excluded_from_train_degradation
pAM,envelope,0.0,0.8,0.8,0.5397030356616563,0.07442610811296893,125,0.013017447031469898,0.5266238314176246,0.5526587254805644,0.595544015456659,1.1034661213764412,0.027273029860942932,1.0761930915154982,1.130739151237384,False
Di-MMLP,test,0.0,0.0,0.0,0.5913350492844748,0.07990812356966961,125,0.013954169532043148,0.5775852916134523,0.6054936306775386,0.5913350492844748,1.0,0.024168049239916778,0.9758319507600832,1.0241680492399168,False
Di-MMLP,test,0.0,0.2,0.2,0.5942286406654221,0.07887381163368469,125,0.014041651602973437,0.5805402803156826,0.6086235835216295,0.5913350492844748,0.9951305083886447,0.024084090408272085,0.9710464179803726,1.0192145987969168,False
Di-MMLP,test,0.0,0.4,0.4,0.5673618495595506,0.07503084959877014,125,0.012672943969610495,0.5543663961751321,0.579712284114353,0.5913350492844748,1.042253809880828,0.02381230993016703,1.018441499950661,1.066066119810995,False
Di-MMLP,test,0.0,0.6,0.6,0.5477623211186431,0.06888628444549452,125,0.01158291711694015,0.5361946582833939,0.5593604925172742,0.5913350492844748,1.0795467787504025,0.02332111373320478,1.0562256650171977,1.1028678924836073,False
Di-MMLP,test,0.0,0.8,0.8,0.5245005861741495,0.062340142625673646,125,0.010789487015751331,0.5137698811278122,0.5353488551593149,0.5913350492844748,1.1274249540841015,0.023679334402649577,1.103745619681452,1.151104288486751,False
Di-PAM,test,0.0,0.0,0.0,0.5943252578838785,0.06996908557775117,125,0.012142817074368872,0.5818236892949535,0.6061093234436913,0.5943252578838785,1.0,0.020857408645792663,0.9791425913542073,1.0208574086457927,False
Di-PAM,test,0.0,0.2,0.2,0.5862553230507254,0.06651577992085653,125,0.011510128696335609,0.5749064407112684,0.5979266981039396,0.5943252578838785,1.0137652222774869,0.02030215874947916,0.9934630635280077,1.034067381026966,False
Di-PAM,test,0.0,0.4,0.4,0.5705966008448767,0.06414562737794241,125,0.011199214068179475,0.5592561302681994,0.5816545584045584,0.5943252578838785,1.0415856964515158,0.02085269159394687,1.020733004857569,1.0624383880454626,False
Di-PAM,test,0.0,0.6,0.6,0.5521703507220749,0.05700200002424622,125,0.01027952925958675,0.5416630585846678,0.5622221171038413,0.5943252578838785,1.0763440251847596,0.02041796882701763,1.055926056357742,1.0967619940117772,False
